[INFO ] 2015-11-23 21:24:58,265 com.readtxt.Sentence - 合成音频生成路径：1_1.wav
[INFO ] 2015-11-23 21:24:58,302 com.readtxt.Sentence - 成功删除文件1_1.wav
[INFO ] 2015-11-23 21:24:58,602 com.readtxt.Sentence - *************合成进度*************25
[INFO ] 2015-11-23 21:24:59,830 com.readtxt.Sentence - *************合成进度*************56
[INFO ] 2015-11-23 21:24:59,892 com.readtxt.Sentence - *************合成进度*************100
[INFO ] 2015-11-23 21:24:59,895 com.readtxt.Sentence - Thread-5
[INFO ] 2015-11-23 21:24:59,895 com.readtxt.Sentence - *************合成成功*************
[INFO ] 2015-11-23 21:24:59,895 com.readtxt.Sentence - 合成音频生成路径：2_1.wav
[INFO ] 2015-11-23 21:24:59,922 com.readtxt.Sentence - 成功删除文件2_1.wav
[INFO ] 2015-11-23 21:25:00,166 com.readtxt.Sentence - *************合成进度*************100
[INFO ] 2015-11-23 21:25:00,168 com.readtxt.Sentence - Thread-7
[INFO ] 2015-11-23 21:25:00,169 com.readtxt.Sentence - *************合成成功*************
[INFO ] 2015-11-23 21:25:00,169 com.readtxt.Sentence - 合成音频生成路径：2_2.wav
[INFO ] 2015-11-23 21:25:00,197 com.readtxt.Sentence - 成功删除文件2_2.wav
[INFO ] 2015-11-23 21:25:00,354 com.readtxt.Sentence - *************合成进度*************100
[INFO ] 2015-11-23 21:25:00,356 com.readtxt.Sentence - Thread-9
[INFO ] 2015-11-23 21:25:00,357 com.readtxt.Sentence - *************合成成功*************
[INFO ] 2015-11-23 21:25:00,357 com.readtxt.Sentence - 合成音频生成路径：2_3.wav
[INFO ] 2015-11-23 21:25:00,372 com.readtxt.Sentence - 成功删除文件2_3.wav
[INFO ] 2015-11-23 21:25:00,585 com.readtxt.Sentence - *************合成进度*************100
[INFO ] 2015-11-23 21:25:00,588 com.readtxt.Sentence - Thread-11
[INFO ] 2015-11-23 21:25:00,588 com.readtxt.Sentence - *************合成成功*************
[INFO ] 2015-11-23 21:25:00,588 com.readtxt.Sentence - 合成音频生成路径：2_4.wav
[INFO ] 2015-11-23 21:25:00,602 com.readtxt.Sentence - 成功删除文件2_4.wav
[INFO ] 2015-11-23 21:25:01,746 com.readtxt.Sentence - *************合成进度*************34
[INFO ] 2015-11-23 21:25:03,156 com.readtxt.Sentence - *************合成进度*************78
[INFO ] 2015-11-23 21:25:03,482 com.readtxt.Sentence - *************合成进度*************100
[INFO ] 2015-11-23 21:25:03,486 com.readtxt.Sentence - Thread-13
[INFO ] 2015-11-23 21:25:03,487 com.readtxt.Sentence - *************合成成功*************
[INFO ] 2015-11-23 21:25:03,487 com.readtxt.Sentence - 合成音频生成路径：3_1.wav
[INFO ] 2015-11-23 21:25:03,510 com.readtxt.Sentence - 无法删除文件3_1.wav，可能被占用
[INFO ] 2015-11-23 21:25:03,776 com.readtxt.Sentence - *************合成进度*************22
[INFO ] 2015-11-23 21:25:03,844 com.readtxt.Sentence - *************合成进度*************100
[INFO ] 2015-11-23 21:25:03,849 com.readtxt.Sentence - Thread-15
[INFO ] 2015-11-23 21:25:03,850 com.readtxt.Sentence - *************合成成功*************
[INFO ] 2015-11-23 21:25:03,850 com.readtxt.Sentence - 合成音频生成路径：4_1.wav
[INFO ] 2015-11-23 21:25:03,871 com.readtxt.Sentence - 成功删除文件4_1.wav
[INFO ] 2015-11-23 21:25:04,951 com.readtxt.Sentence - *************合成进度*************18
[INFO ] 2015-11-23 21:25:06,238 com.readtxt.Sentence - *************合成进度*************80
[INFO ] 2015-11-23 21:25:06,513 com.readtxt.Sentence - *************合成进度*************100
[INFO ] 2015-11-23 21:25:06,515 com.readtxt.Sentence - Thread-17
[INFO ] 2015-11-23 21:25:06,516 com.readtxt.Sentence - *************合成成功*************
[INFO ] 2015-11-23 21:25:06,516 com.readtxt.Sentence - 合成音频生成路径：5_1.wav
[INFO ] 2015-11-23 21:25:06,541 com.readtxt.Sentence - 成功删除文件5_1.wav
[INFO ] 2015-11-23 21:25:06,783 com.readtxt.Sentence - *************合成进度*************20
[INFO ] 2015-11-23 21:25:06,883 com.readtxt.Sentence - *************合成进度*************100
[INFO ] 2015-11-23 21:25:06,884 com.readtxt.Sentence - Thread-19
[INFO ] 2015-11-23 21:25:06,884 com.readtxt.Sentence - *************合成成功*************
[INFO ] 2015-11-23 21:25:06,884 com.readtxt.Sentence - 合成音频生成路径：6_1.wav
[INFO ] 2015-11-23 21:25:06,900 com.readtxt.Sentence - 无法删除文件6_1.wav，可能被占用
[INFO ] 2015-11-23 21:25:07,252 com.readtxt.Sentence - *************合成进度*************100
[INFO ] 2015-11-23 21:25:07,254 com.readtxt.Sentence - Thread-21
[INFO ] 2015-11-23 21:25:07,255 com.readtxt.Sentence - *************合成成功*************
[INFO ] 2015-11-23 21:25:07,255 com.readtxt.Sentence - 合成音频生成路径：7_1.wav
[INFO ] 2015-11-23 21:25:07,270 com.readtxt.Sentence - 无法删除文件7_1.wav，可能被占用
[INFO ] 2015-11-23 21:25:08,547 com.readtxt.Sentence - *************合成进度*************45
[INFO ] 2015-11-23 21:25:09,272 com.readtxt.Sentence - *************合成进度*************68
[INFO ] 2015-11-23 21:25:09,645 com.readtxt.Sentence - *************合成进度*************83
[INFO ] 2015-11-23 21:25:09,975 com.readtxt.Sentence - *************合成进度*************100
[INFO ] 2015-11-23 21:25:09,980 com.readtxt.Sentence - Thread-23
[INFO ] 2015-11-23 21:25:09,981 com.readtxt.Sentence - *************合成成功*************
[INFO ] 2015-11-23 21:25:09,981 com.readtxt.Sentence - 合成音频生成路径：8_1.wav
[INFO ] 2015-11-23 21:25:10,012 com.readtxt.Sentence - 成功删除文件8_1.wav
[INFO ] 2015-11-23 21:25:10,483 com.readtxt.Sentence - *************合成进度*************5
[INFO ] 2015-11-23 21:25:11,017 com.readtxt.Sentence - *************合成进度*************17
[INFO ] 2015-11-23 21:25:11,371 com.readtxt.Sentence - *************合成进度*************26
[INFO ] 2015-11-23 21:25:11,920 com.readtxt.Sentence - *************合成进度*************38
[INFO ] 2015-11-23 21:25:12,409 com.readtxt.Sentence - *************合成进度*************51
[INFO ] 2015-11-23 21:25:12,887 com.readtxt.Sentence - *************合成进度*************66
[INFO ] 2015-11-23 21:25:13,401 com.readtxt.Sentence - *************合成进度*************71
[INFO ] 2015-11-23 21:25:14,014 com.readtxt.Sentence - *************合成进度*************82
[INFO ] 2015-11-23 21:25:14,205 com.readtxt.Sentence - *************合成进度*************88
[INFO ] 2015-11-23 21:25:14,519 com.readtxt.Sentence - *************合成进度*************100
[INFO ] 2015-11-23 21:25:14,521 com.readtxt.Sentence - Thread-25
[INFO ] 2015-11-23 21:25:14,522 com.readtxt.Sentence - *************合成成功*************
[INFO ] 2015-11-23 21:25:14,522 com.readtxt.Sentence - 合成音频生成路径：9_1.wav
[INFO ] 2015-11-23 21:25:14,543 com.readtxt.Sentence - 成功删除文件9_1.wav
[INFO ] 2015-11-23 21:25:14,915 com.readtxt.Sentence - *************合成进度*************3
[INFO ] 2015-11-23 21:25:15,831 com.readtxt.Sentence - *************合成进度*************50
[INFO ] 2015-11-23 21:25:16,479 com.readtxt.Sentence - *************合成进度*************74
[INFO ] 2015-11-23 21:25:16,634 com.readtxt.Sentence - *************合成进度*************85
[INFO ] 2015-11-23 21:25:16,784 com.readtxt.Sentence - *************合成进度*************100
[INFO ] 2015-11-23 21:25:16,786 com.readtxt.Sentence - Thread-27
[INFO ] 2015-11-23 21:25:16,787 com.readtxt.Sentence - *************合成成功*************
[INFO ] 2015-11-23 21:25:16,787 com.readtxt.Sentence - 合成音频生成路径：9_2.wav
[INFO ] 2015-11-23 21:25:16,802 com.readtxt.Sentence - 成功删除文件9_2.wav
[INFO ] 2015-11-23 21:25:16,802 com.readtxt.Sentence - comein !!!!!!!!!
[INFO ] 2015-11-23 21:25:16,805 com.readtxt.Sentence - 无法删除文件1_1.wav，可能被占用
[INFO ] 2015-11-23 21:25:16,805 com.readtxt.Sentence - 无法删除文件2_1.wav，可能被占用
[INFO ] 2015-11-23 21:25:16,806 com.readtxt.Sentence - 无法删除文件2_2.wav，可能被占用
[INFO ] 2015-11-23 21:25:16,806 com.readtxt.Sentence - 无法删除文件2_3.wav，可能被占用
[INFO ] 2015-11-23 21:25:16,806 com.readtxt.Sentence - 无法删除文件2_4.wav，可能被占用
[INFO ] 2015-11-23 21:25:16,807 com.readtxt.Sentence - 成功删除文件3_1.wav
[INFO ] 2015-11-23 21:25:16,807 com.readtxt.Sentence - 无法删除文件4_1.wav，可能被占用
[INFO ] 2015-11-23 21:25:16,808 com.readtxt.Sentence - 无法删除文件5_1.wav，可能被占用
[INFO ] 2015-11-23 21:25:16,808 com.readtxt.Sentence - 成功删除文件6_1.wav
[INFO ] 2015-11-23 21:25:16,809 com.readtxt.Sentence - 成功删除文件7_1.wav
[INFO ] 2015-11-23 21:25:16,809 com.readtxt.Sentence - 无法删除文件8_1.wav，可能被占用
[INFO ] 2015-11-23 21:25:16,809 com.readtxt.Sentence - 无法删除文件9_1.wav，可能被占用
[INFO ] 2015-11-23 21:25:16,810 com.readtxt.Sentence - 无法删除文件9_2.wav，可能被占用
[INFO ] 2015-11-23 21:27:31,523 com.readtxt.Sentence - *************合成进度*************23
[INFO ] 2015-11-23 21:27:31,699 com.readtxt.Sentence - *************合成进度*************100
[INFO ] 2015-11-23 21:27:31,701 com.readtxt.Sentence - Thread-3start
[INFO ] 2015-11-23 21:27:31,701 com.readtxt.Sentence - Thread-3
[INFO ] 2015-11-23 21:27:31,703 com.readtxt.Sentence - *************合成成功*************
[INFO ] 2015-11-23 21:27:31,703 com.readtxt.Sentence - 合成音频生成路径：1_1.wav
[INFO ] 2015-11-23 21:27:31,739 com.readtxt.Sentence - 成功删除文件1_1.wav
[INFO ] 2015-11-23 21:27:31,741 com.readtxt.Sentence - Thread-3 end 
